item_code,item_name,base_uom,track_lots,track_serial_numbers,is_active
Edge Switch-24Port,Edge Switch-24Port,Nos,f,f,t
EKEDP Monthly Bill,EKEDP Monthly Bill,Service,f,f,t
Electrical Box,Electrical Box,Nos,f,f,t
Electrical Tape,Electrical Tape,Nos,f,f,t
Electric Impact Wrench,Electric Impact Wrench,Nos,f,f,t
Electrode - Splicing machine,Electrode - Splicing machine,Nos,f,f,t
Endian UTM-100,Endian UTM-100,Nos,f,f,t
Endian UTM-250,Endian UTM-250,Nos,f,f,t
Ethernet Surge Protector,Ethernet Surge Protector,Nos,f,t,t
Exercise Book,Exercise Book,Nos,f,f,t
Extension Wire - Ellington Surge,Extension Wire - Ellington Surge,Nos,f,f,t
Extension Wires,Extension Wires,Nos,f,f,t
Factory Crimped Cable,Factory Crimped Cable,Nos,f,f,t
Fast ethernet converter,Fast ethernet converter,Nos,f,f,t
FAT BOX- 1:16,FAT BOX- 1:16,Nos,f,f,t
Fiber Face Plate,Fiber Face Plate,Nos,f,f,t
Fiber Installation Service,Fiber Installation Service,Nos,f,f,t
Fiber knive,Fiber knive,Nos,f,f,t
Fiber Tool Kit,Fiber Tool Kit,Nos,f,f,t
Fibre Optical Splitter,Fibre Optical Splitter,Nos,f,f,t
File Divider,File Divider,Nos,f,f,t
Fire Alarm,Fire Alarm,Nos,f,f,t
Fishing Tape,Fishing Tape,Meter,f,f,t
Fishure(s12),Fishure(s12),Nos,f,f,t
Fishure (s6),Fishure (s6),Nos,f,f,t
Fixing keyboard,Fixing keyboard,Nos,f,f,t
Flash Drive -2GB,Flash Drive -2GB,Nos,f,f,t
Flash Drive - 8GB,Flash Drive - 8GB,Nos,f,f,t
Flat Bars,Flat Bars,Nos,f,f,t
Flexible pipe - 20mm(Black Color),Flexible pipe - 20mm(Black Color),Meter,f,f,t
Flexible pipe - 20mm(White Color),Flexible pipe - 20mm(White Color),Meter,f,f,t
Flexible pipe - 25mm,Flexible pipe - 25mm,Meter,f,f,t
FTTH Tool Box,FTTH Tool Box,Nos,f,f,t
Fuel Pump,Fuel Pump,Nos,f,f,t
Gang switch,Gang switch,Nos,f,f,t
GPON UF-OLT,GPON UF-OLT,Nos,f,f,t
Gradienter,Gradienter,Nos,f,f,t
Guard Wire,Guard Wire,Nos,f,f,t
H803GPFD's SFP C+,H803GPFD's SFP C+,Nos,f,f,t
Hammer,Hammer,Nos,f,f,t
Handglove,Handglove,Nos,f,f,t
Hard Cover Note Book,Hard Cover Note Book,Nos,f,f,t
Heat Shrink,Heat Shrink,Nos,f,f,t
Helmet,Helmet,Nos,f,f,t
HIAB,HIAB,Nos,f,f,t
Hisense ZHP,Hisense ZHP,Nos,f,f,t
Hose clamp,Hose clamp,Nos,f,f,t
Hp 150 Wireless Mouse,Hp 150 Wireless Mouse,Nos,f,f,t
HP 203 Black Toner,HP 203 Black Toner,Nos,f,f,t
HP 24fw Monitor,HP 24fw Monitor,Nos,f,f,t
HP 652 Black ink,HP 652 Black ink,Nos,f,f,t
HP 652 Colour,HP 652 Colour,Nos,f,f,t
HP Docking Station,HP Docking Station,Nos,f,f,t
HP Headset H2800,HP Headset H2800,Nos,f,f,t
HP Monitor Desktop,HP Monitor Desktop,Nos,f,f,t
HP Power Adapter,HP Power Adapter,Nos,f,f,t
HP Scanner (HP ScanJet Pro 2500),HP Scanner (HP ScanJet Pro 2500),Nos,f,f,t
Hp Spectre X360 Convertible 13,Hp Spectre X360 Convertible 13,Nos,f,f,t
HP Wired Mouse,HP Wired Mouse,Nos,f,f,t
Huawei Board,Huawei Board,Nos,f,f,t
Huawei HG8546M GPON ONT,Huawei HG8546M GPON ONT,Nos,f,t,t
Huawei OLT - MA5800x2,Huawei OLT - MA5800x2,Nos,f,f,t
Huawei ONT EG8145V5,Huawei ONT EG8145V5,Nos,f,t,t
Huawei SmartAX EA5800-X2,Huawei SmartAX EA5800-X2,Nos,f,f,t
IKEDC Monthly Bill,IKEDC Monthly Bill,Service,f,f,t
Indicator Light,Indicator Light,Nos,f,f,t
Indoor AP-AirEngine 5773-21,Indoor AP-AirEngine 5773-21,Nos,f,f,t
Indoor Cat 6 Cable - Non Copper,Indoor Cat 6 Cable - Non Copper,Meter,f,f,t
Indoor Cat 6 -Full Copper,Indoor Cat 6 -Full Copper,Meter,f,f,t
Intel 1.2Tb SATA SFF,Intel 1.2Tb SATA SFF,Nos,f,f,t
INTEL NUC core i7,INTEL NUC core i7,Nos,f,f,t
Interceptions,Interceptions,Nos,f,f,t
Interconnect Cable Amplifier to Controller (Qty 2 ,Interconnect Cable Amplifier to Controller (Qty 2 Required per system),Meter,f,f,t
Int'l Shipping & Delivery,Int'l Shipping & Delivery,Kg,f,f,t
ITEL A18,ITEL A18,Nos,f,f,t
ITEL A18s,ITEL A18s,Nos,f,f,t
ITEM202602-00001,Test Item,EA,f,f,t
ITEM202604-0001,Test item,PCS,f,t,t
Jack Hammer - Total Brand,Jack Hammer - Total Brand,Nos,f,f,t
Keyboard,Keyboard,Nos,f,f,t
Knife,Knife,Nos,f,f,t
Knife Switch - Change Over,Knife Switch - Change Over,Nos,f,f,t
KU-Band converter,KU-Band converter,Nos,f,f,t
Labour - NEPA,Labour - NEPA,Nos,f,f,t
Ladder-24ft FiberGlass,Ladder-24ft FiberGlass,Foot,f,f,t
Ladder - 8 Steps,Ladder - 8 Steps,Nos,f,f,t
Ladder - Foldable 5m,Ladder - Foldable 5m,Nos,f,f,t
Lamp Holder,Lamp Holder,Nos,f,f,t
Lan Tester,Lan Tester,Nos,f,f,t
LAP-120 Antenna,LAP-120 Antenna,Nos,f,t,t
LAP-GPS Antenna,LAP-GPS Antenna,Nos,f,f,t
Large Envelop,Large Envelop,Nos,f,f,t
Launch CRP 123 -Scanner,Launch CRP 123 -Scanner,Nos,f,f,t
Led bulb A.K.T,Led bulb A.K.T,Nos,f,f,t
Led Light,Led Light,Nos,f,f,t
Led Light - Murder Fitting,Led Light - Murder Fitting,Nos,f,f,t
"Lenovo Ideapad Flex 5 Core i3, 8GB+512GB, 14 inche","Lenovo Ideapad Flex 5 Core i3, 8GB+512GB, 14 inches, windows 11",Nos,f,f,t
Lenovo Power Pack,Lenovo Power Pack,Nos,f,f,t
Litebeam Antenna -Only,Litebeam Antenna -Only,Nos,f,f,t
LiteBeam Holder - Only,LiteBeam Holder - Only,Nos,f,f,t
LiteBeam - LBE-5AC-GEN2,LiteBeam - LBE-5AC-GEN2,Nos,f,t,t
Logitech Headphone - H111,Logitech Headphone - H111,Nos,f,f,t
Logitech Headphone - H340,Logitech Headphone - H340,Nos,f,f,t
Logitech M170,Logitech M170,Nos,f,f,t
Long-life Battery,Long-life Battery,Nos,f,f,t
LTU Long Range - Radio,LTU Long Range - Radio,Nos,f,f,t
LTU Prism,LTU Prism,Nos,f,f,t
LTU Rocket,LTU Rocket,Nos,f,f,t
Marker,Marker,Nos,f,f,t
Masking Tape,Masking Tape,Nos,f,f,t
Measuring Tape,Measuring Tape,Nos,f,f,t
Media Converter,Media Converter,Nos,f,f,t
Medium Envelop,Medium Envelop,Nos,f,f,t
Meter Board,Meter Board,Nos,f,f,t
Mikrotic 10G DDM 10Km,Mikrotic 10G DDM 10Km,Nos,f,f,t
Mikrotic 1.25G DDM SFP 850nm 550M,Mikrotic 1.25G DDM SFP 850nm 550M,Nos,f,f,t
Mikrotic DDM SFP 20Km,Mikrotic DDM SFP 20Km,Nos,f,f,t
Mikrotic DDM SFP 80Km,Mikrotic DDM SFP 80Km,Nos,f,f,t
Mikrotik CRS328-24P-4S+RM,Mikrotik CRS328-24P-4S+RM,Nos,f,f,t
Mikrotik Dish - 5G-30DBI,Mikrotik Dish - 5G-30DBI,Nos,f,f,t
Mikrotik RB2011 Router,Mikrotik RB2011 Router,Nos,f,f,t
Mikrotik Router - RB951,Mikrotik Router - RB951,Nos,f,f,t
Mini OTDR Screen,Mini OTDR Screen,Nos,f,f,t
Moko Spirit,Moko Spirit,Nos,f,f,t
Mounting Bracket,Mounting Bracket,Nos,f,f,t
Multimeter,Multimeter,Nos,f,f,t
Multiplexer(AF-MPx8),Multiplexer(AF-MPx8),Nos,f,f,t
"Nail 1""inch","Nail 1""inch",Box,f,f,t
"Nail 3""inch","Nail 3""inch",Box,f,f,t
NMS U2000 Software,NMS U2000 Software,Nos,f,f,t
Nuts,Nuts,Nos,f,f,t
Odf Tray - Cabinet,Odf Tray - Cabinet,Nos,f,f,t
Office File - Paper,Office File - Paper,Nos,f,f,t
Offwall - 1Ft,Offwall - 1Ft,Nos,f,f,t
Offwall - 2Ft,Offwall - 2Ft,Nos,f,f,t
Oil Paint,Oil Paint,Nos,f,f,t
One Time SAP Business One Implementation Fee and S,"One Time SAP Business One Implementation Fee and System Scoping,System Configuration,Blue Printing,ERP Implementation & User Acceptance Test",Nos,f,f,t
Onwall Pole,Onwall Pole,Nos,f,f,t
Opening Wrench M30,Opening Wrench M30,Nos,f,f,t
OTDR Mulit-Function Tester,OTDR Mulit-Function Tester,Nos,f,t,t
Outdoor Cat 6 cable,Outdoor Cat 6 cable,Meter,f,f,t
Outdoor Cat 7 cable,Outdoor Cat 7 cable,Meter,f,f,t
Outdoor Switch - netPower Lite 7R,Outdoor Switch - netPower Lite 7R,Nos,f,f,t
OX Fan - 20inches,OX Fan - 20inches,Nos,f,f,t
OX Standing Fan,OX Standing Fan,Nos,f,f,t
Padlock,Padlock,Nos,f,f,t
Paint brush,Paint brush,Nos,f,f,t
Pan 20mm-Guage,Pan 20mm-Guage,Nos,f,f,t
Paper Gum,Paper Gum,Nos,f,f,t
Patchcord - FC-LC 10m,Patchcord - FC-LC 10m,Nos,f,f,t
Patchcord - FC -SC 15M,Patchcord - FC -SC 15M,Nos,f,f,t
Patchcord - LC-LC,Patchcord - LC-LC,Nos,f,f,t
Patchcord LC-LC 20m,Patchcord LC-LC 20m,Nos,f,f,t
Patchcord LC-LC 30m,Patchcord LC-LC 30m,Nos,f,f,t
Patchcord - SC-APC,Patchcord - SC-APC,Nos,f,f,t
Patchcord -SC-LC 3m,Patchcord -SC-LC 3m,Nos,f,f,t
Patchcord SC-LC 3m,Patchcord SC-LC 3m,Nos,f,f,t
Patchcord SC-LC BLUE,Patchcord SC-LC BLUE,Nos,f,f,t
Patchcord SC-LC GREEN,Patchcord SC-LC GREEN,Nos,f,f,t
Patchcord - SC-SC (BLUE),Patchcord - SC-SC (BLUE),Nos,f,f,t
Patchcord - SC-SC (GREEN),Patchcord - SC-SC (GREEN),Nos,f,f,t
Patchmax Panel - PM-GS3-48,Patchmax Panel - PM-GS3-48,Nos,f,f,t
Pattress Box - 3x6 PVC,Pattress Box - 3x6 PVC,Nos,f,f,t
Pattress Box Cover - PVC,Pattress Box Cover - PVC,Nos,f,f,t
Pattress Box - Fiber,Pattress Box - Fiber,Nos,f,f,t
PDU -Extension,PDU -Extension,Nos,f,f,t
Pen - Jar Pack,Pen - Jar Pack,Nos,f,f,t
Pipe-1 and Halve,Pipe-1 and Halve,Nos,f,f,t
Pipe 1x1,Pipe 1x1,Nos,f,f,t
Pipe Plier,Pipe Plier,Nos,f,f,t
Plier,Plier,Nos,f,f,t
Plug-13Amp,Plug-13Amp,Nos,f,f,t
PoE Adapter 24V,PoE Adapter 24V,Nos,f,f,t
PoE Injector 24V 24W,PoE Injector 24V 24W,Nos,f,f,t
PoE Injector 24V 7W,PoE Injector 24V 7W,Nos,f,f,t
Portable Fusion Splicing Machine,Portable Fusion Splicing Machine,Nos,f,f,t
PO test 1,PO test 1,Box,f,f,t
PowerBeam-5AC-500,PowerBeam-5AC-500,Nos,f,f,t
PowerBeam 5AC-GEN2,PowerBeam 5AC-GEN2,Nos,f,f,t
PowerBeam-M5-400,PowerBeam-M5-400,Nos,f,f,t
Power Meter,Power Meter,Nos,f,f,t
Power Pack - HP,Power Pack - HP,Nos,f,f,t
Power Pack - Splicing Machine,Power Pack - Splicing Machine,Nos,f,f,t
Pressure clamp,Pressure clamp,Nos,f,f,t
Projector Screen 72×72,Projector Screen 72×72,Kg,f,f,t
Projector Stand,Projector Stand,Nos,f,f,t
Punch down tool,Punch down tool,Nos,f,f,t
PVC Back cover,PVC Back cover,Nos,f,f,t
PVC Coupler,PVC Coupler,Box,f,f,t
PVC Front cover,PVC Front cover,Nos,f,f,t
PvC Pipe20mm - Black Color,PvC Pipe20mm - Black Color,Box,f,f,t
PvC Pipe20mm(Grey Color),PvC Pipe20mm(Grey Color),Box,f,f,t
Quantum Tubular Battery,Quantum Tubular Battery,Nos,f,f,t
R5AC-Lite,R5AC-Lite,Nos,f,f,t
Radio Installation,Radio Installation,Kg,f,f,t
Rain boot,Rain boot,Nos,f,f,t
Rain coat,Rain coat,Nos,f,f,t
RB2011 - Mikrotik Router,RB2011 - Mikrotik Router,Nos,f,f,t
Red Seal,Red Seal,Nos,f,f,t
Reflective Jacket,Reflective Jacket,Nos,f,f,t
Remote Lan Tester,Remote Lan Tester,Nos,f,f,t
Rent,Rent,Year,f,f,t
Ring - 38mm,Ring - 38mm,Nos,f,f,t
Ring - 51mm,Ring - 51mm,Nos,f,f,t
Ring Office File,Ring Office File,Nos,f,f,t
Rito Ave 7000,Rito Ave 7000,Nos,f,f,t
Rj45 connector indoor,Rj45 connector indoor,Nos,f,f,t
Rj45 Connector Outdoor (CAT6),Rj45 Connector Outdoor (CAT6),Nos,f,f,t
Rj45 Connector Outdoor (CAT7),Rj45 Connector Outdoor (CAT7),Nos,f,f,t
RJ45 Union Connector,RJ45 Union Connector,Nos,f,f,t
Rocket Dish -5G30 30dBi,Rocket Dish -5G30 30dBi,Nos,f,f,t
Rocket Prism -5AC-Gen2,Rocket Prism -5AC-Gen2,Nos,f,t,t
Router-AR6710-L14T2X4,Router-AR6710-L14T2X4,Nos,f,f,t
R.O.W,R.O.W,Nos,f,f,t
Rubber Hammer,Rubber Hammer,Nos,f,f,t
S5735-S48P4XE-V2-Technical Support Service,S5735-S48P4XE-V2-Technical Support Service,Service,f,f,t
S5755-H48T4Y2CZ-Technical Support Service,S5755-H48T4Y2CZ-Technical Support Service,Service,f,f,t
Safety Belt,Safety Belt,Nos,f,f,t
Safety Boot,Safety Boot,Nos,f,f,t
